Código;Descrição;Descrição complementar;Grupo;Procedência;Unid;Preço min vnd (R$);Preço vnd (R$);Custo orç;% markup;Conv vnd;Conv cpr;Peso líq unitário (kg);Peso bruto unitário (kg);Descrição do grupo;Dentro do grupo (código);Dentro do grupo (descrição);Desenho;Revisão desenho;Moeda custo;Qt/vol;Preço cmp (R$);Estocagem;IPI (%);Tipo custo;Estoque mínimo;Ponto de ressuprimento;Lote mínimo;Lote múltiplo;Origem da mercadoria;Prazo de aquisição(dias);Número da FCI;GTIN;Criado em;GTIN unid tributável;Criado por;Alterado por;CEST;Alterado em;Origem da mercadoria;Tipo contábil;NCM;Estado;Observações;Observações técnicas;Endereço de estoque padrão
T00183;PEITO BATENTE PADRÃO SI 2200X56X9MM;;015CBT;Fabricado;PC;;;;;;;;;PEITO PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;11/11/2025 10:24;;Samuel;Samuel;;11/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00182;BASE BATENTE PADRÃO SI 2200X96X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;11/11/2025 10:24;;Samuel;Samuel;;11/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00181;PEITO BATENTE PADRÃO SI 2200X101X9MM;;015CBT;Fabricado;PC;;;;;;;;;PEITO PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;11/11/2025 08:36;;Samuel;Samuel;;11/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00180;BASE BATENTE PADRÃO SI 2200X141X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;11/11/2025 08:36;;Samuel;Samuel;;11/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00179;ALIZAR MACIÇO LAT ESQ SI HASTE MENOR ACABADO REN PRT|2300X70X15MM BASE 6MM REGULAGEM 10MM - TR;ALIZAR MACIÇO LATERAL ESQUERDO SOLEIRA IMPERMEAVEL HASTE MENOR ACABADO - TOPO RETO;AL0101A004;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL ESQUERDO SOLEIRA IMPERMEAVEL HASTE MENOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:53;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00178;ALIZAR MACIÇO LAT DIR SI HASTE MENOR ACABADO REN PRT|2300X70X15MM BASE 6MM REGULAGEM 10MM - TR;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MENOR ACABADO - TOPO RETO;AL0101A002;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MENOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:53;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00177;ALIZAR MACIÇO SUP HASTE MENOR ACABADO REN PRT|2300X70X15MM BASE 6MM REGULAGEM 10MM - TR;ALIZAR MACIÇO SUPERIOR HDF HASTE MENOR ACABADO - TOPO RETO;AL0201A002;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO SUPERIOR HDF HASTE MENOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:53;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00176;CONJUNTO ALIZAR MACIÇO SI HASTE MENOR REN PRT|2300X70X15MM BASE 6MM REGULAGEM 10MM - TR;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MAIOR TOPO RETO;CA0101-002;Fabricado;un;;;;;;;;;CONJUNTO ALIZAR MACIÇO SOLEIRA IMPERMEAVEL HASTE MENOR TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:53;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00175;ALIZAR MACIÇO LAT ESQ SI HASTE MAIOR ACABADO REN PRT|2300X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO LATERAL ESQUERDO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;AL0101A003;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL ESQUERDO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:50;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00174;ALIZAR MACIÇO LAT DIR SI HASTE MAIOR ACABADO REN PRT|2300X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;AL0101A001;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL DIREITO SOLEIRA IMPERMEAVEL HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;10/11/2025 08:50;;Everaldo;Everaldo;;10/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
